brain ,,Lung,,Heart wall,,Kidney,
x,y,x,y,x,y,x,y
0,0,0,0.0231041,52.0446,0.00730845,52.0446,0.00471513
5.05576,0.0879371,52.0446,0.0167387,57.1004,0.00730845,57.1004,0.00424361
9.96283,0.109155,57.1004,0.0165029,62.0074,0.00730845,62.0074,0.00424361
15.1673,0.113399,62.0074,0.0162672,67.0632,0.00730845,67.0632,0.00424361
20.0743,0.115521,67.0632,0.0157957,72.119,0.0075442,71.9703,0.00424361
25.1301,0.115756,72.119,0.0148527,77.1747,0.00730845,77.1747,0.00400786
30.1859,0.115285,77.1747,0.0146169,82.0818,0.00707269,82.0818,0.0037721
35.0929,0.111749,82.0818,0.0136739,86.9888,0.00683694,87.1375,0.0037721
40.1487,0.110334,86.9888,0.0132024,92.0446,0.00660118,92.0446,0.00353635
45.0558,0.108448,92.0446,0.0129666,,,,
